,Date,Open,High,Low,Close,Adj Close,Volume,Hour
3476,2019-05-02 06:00:00,126.43,126.64,126.14,126.46,126.46,3042007,06:00:00
3477,2019-05-02 07:00:00,126.47,126.63,126.01,126.07,126.07,2787533,07:00:00
3478,2019-05-02 08:00:00,126.21,126.95,126.08,126.22,126.22,0,08:00:00
3479,2019-05-02 09:00:00,126.2,126.25,126.18,126.2,126.2,0,09:00:00
3480,2019-05-02 10:00:00,126.23,126.32,126.21,126.25,126.25,0,10:00:00
3481,2019-05-02 11:00:00,126.25,126.47,126.25,126.3,126.3,0,11:00:00
3482,2019-05-03 01:00:00,126.87,126.87,126.83,126.83,126.83,0,01:00:00
3483,2019-05-03 02:00:00,126.8,126.97,126.71,126.9,126.9,0,02:00:00
3484,2019-05-03 03:00:00,126.9,127.11,126.8,127.0,127.0,0,03:00:00
3485,2019-05-03 04:00:00,127.1,127.29,126.53,127.29,127.29,0,04:00:00
3486,2019-05-03 05:00:00,127.36,128.18,127.25,128.02,128.02,4526392,05:00:00
3487,2019-05-03 06:00:00,128.02,128.77,127.89,128.57,128.57,3784753,06:00:00
